"","KO","Metabolism","Pathway","Subpathway","Name"
"1093","K03737","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"1094","K00656","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
"1095","K00234","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"1096","K00235","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
"1097","K00236","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
"1098","K00237","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit"
"1099","K25801","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA",""
"1100","K00233","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA",""
"1101","K00239","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"1102","K00240","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"1103","K00241","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"1104","K00242","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
"1105","K00244","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"1106","K00245","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]"
"1107","K00246","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","frdC; fumarate reductase subunit C"
"1108","K00247","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","frdD; fumarate reductase subunit D"
"1109","K18859","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D"
"1110","K18860","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA","sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
"1111","K25995","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA",""
"1112","K25996","Energy","Pyruvate oxidation","Pyruvate oxidation: Pyruvate => acetyl-CoA",""
"1113","K03878","Energy","Electron transport chain","ETC: NADH reductase","ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]"
"1114","K03879","Energy","Electron transport chain","ETC: NADH reductase","ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]"
"1115","K03880","Energy","Electron transport chain","ETC: NADH reductase","ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]"
"1116","K03881","Energy","Electron transport chain","ETC: NADH reductase","ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]"
"1117","K03882","Energy","Electron transport chain","ETC: NADH reductase","ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]"
"1118","K03883","Energy","Electron transport chain","ETC: NADH reductase","ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]"
"1119","K03884","Energy","Electron transport chain","ETC: NADH reductase","ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]"
"1120","K03934","Energy","Electron transport chain","ETC: NADH reductase","NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2 1.6.99.3]"
"1121","K03935","Energy","Electron transport chain","ETC: NADH reductase","NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2 1.6.99.3]"
"1122","K03936","Energy","Electron transport chain","ETC: NADH reductase","NDUFS3; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2 1.6.99.3]"
"1123","K03937","Energy","Electron transport chain","ETC: NADH reductase","NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4"
"1124","K03938","Energy","Electron transport chain","ETC: NADH reductase","NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5"
"1125","K03939","Energy","Electron transport chain","ETC: NADH reductase","NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6"
"1126","K03940","Energy","Electron transport chain","ETC: NADH reductase","NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2 1.6.99.3]"
"1127","K03941","Energy","Electron transport chain","ETC: NADH reductase","NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2 1.6.99.3]"
"1128","K03942","Energy","Electron transport chain","ETC: NADH reductase","NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2 1.6.99.3]"
"1129","K03943","Energy","Electron transport chain","ETC: NADH reductase","NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2 1.6.99.3]"
"1130","K03944","Energy","Electron transport chain","ETC: NADH reductase","NDUFV3; NADH dehydrogenase (ubiquinone) flavoprotein 3"
"1131","K00330","Energy","Electron transport chain","ETC: NADH reductase","nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]"
"1132","K00331","Energy","Electron transport chain","ETC: NADH reductase","nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"
"1133","K00332","Energy","Electron transport chain","ETC: NADH reductase","nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]"
"1134","K00333","Energy","Electron transport chain","ETC: NADH reductase","nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]"
"1135","K00334","Energy","Electron transport chain","ETC: NADH reductase","nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]"
"1136","K00335","Energy","Electron transport chain","ETC: NADH reductase","nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]"
"1137","K00336","Energy","Electron transport chain","ETC: NADH reductase","nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"
"1138","K00337","Energy","Electron transport chain","ETC: NADH reductase","nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]"
"1139","K00338","Energy","Electron transport chain","ETC: NADH reductase","nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]"
"1140","K00339","Energy","Electron transport chain","ETC: NADH reductase","nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]"
"1141","K00340","Energy","Electron transport chain","ETC: NADH reductase","nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"
"1142","K00341","Energy","Electron transport chain","ETC: NADH reductase","nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"
"1143","K00342","Energy","Electron transport chain","ETC: NADH reductase","nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]"
"1144","K00343","Energy","Electron transport chain","ETC: NADH reductase","nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]"
"1145","K13380","Energy","Electron transport chain","ETC: NADH reductase","nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]"
"1146","K13378","Energy","Electron transport chain","ETC: NADH reductase","nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]"
"1147","K15863","Energy","Electron transport chain","ETC: NADH reductase","nuoLM; NADH-quinone oxidoreductase subunit L/M [EC:7.1.1.2]"
"1148","K05574","Energy","Electron transport chain","ETC: NADH reductase","ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]"
"1149","K05582","Energy","Electron transport chain","ETC: NADH reductase","ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]"
"1150","K05581","Energy","Electron transport chain","ETC: NADH reductase","ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]"
"1151","K05579","Energy","Electron transport chain","ETC: NADH reductase","ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]"
"1152","K05572","Energy","Electron transport chain","ETC: NADH reductase","ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]"
"1153","K05580","Energy","Electron transport chain","ETC: NADH reductase","ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]"
"1154","K05578","Energy","Electron transport chain","ETC: NADH reductase","ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]"
"1155","K05576","Energy","Electron transport chain","ETC: NADH reductase","ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]"
"1156","K05577","Energy","Electron transport chain","ETC: NADH reductase","ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]"
"1157","K05575","Energy","Electron transport chain","ETC: NADH reductase","ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]"
"1158","K05573","Energy","Electron transport chain","ETC: NADH reductase","ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]"
"1159","K05583","Energy","Electron transport chain","ETC: NADH reductase","ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]"
"1160","K05584","Energy","Electron transport chain","ETC: NADH reductase","ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]"
"1161","K05585","Energy","Electron transport chain","ETC: NADH reductase","ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]"
"1162","K05586","Energy","Electron transport chain","ETC: NADH reductase","hoxE; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]"
"1163","K05587","Energy","Electron transport chain","ETC: NADH reductase","hoxF; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]"
"1164","K05588","Energy","Electron transport chain","ETC: NADH reductase","hoxU; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]"
"1165","K03945","Energy","Electron transport chain","ETC: NADH reductase","NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1"
"1166","K03946","Energy","Electron transport chain","ETC: NADH reductase","NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2"
"1167","K03947","Energy","Electron transport chain","ETC: NADH reductase","NDUFA3; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3"
"1168","K03948","Energy","Electron transport chain","ETC: NADH reductase","NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4"
"1169","K03949","Energy","Electron transport chain","ETC: NADH reductase","NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5"
"1170","K03950","Energy","Electron transport chain","ETC: NADH reductase","NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6"
"1171","K03951","Energy","Electron transport chain","ETC: NADH reductase","NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7"
"1172","K03952","Energy","Electron transport chain","ETC: NADH reductase","NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8"
"1173","K03953","Energy","Electron transport chain","ETC: NADH reductase","NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9"
"1174","K03954","Energy","Electron transport chain","ETC: NADH reductase","NDUFA10; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10"
"1175","K03955","Energy","Electron transport chain","ETC: NADH reductase","NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"
"1176","K03956","Energy","Electron transport chain","ETC: NADH reductase","NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11"
"1177","K11352","Energy","Electron transport chain","ETC: NADH reductase","NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12"
"1178","K11353","Energy","Electron transport chain","ETC: NADH reductase","NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13"
"1179","K03957","Energy","Electron transport chain","ETC: NADH reductase","NDUFB1; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1"
"1180","K03958","Energy","Electron transport chain","ETC: NADH reductase","NDUFB2; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2"
"1181","K03959","Energy","Electron transport chain","ETC: NADH reductase","NDUFB3; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3"
"1182","K03960","Energy","Electron transport chain","ETC: NADH reductase","NDUFB4; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4"
"1183","K03961","Energy","Electron transport chain","ETC: NADH reductase","NDUFB5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5"
"1184","K03962","Energy","Electron transport chain","ETC: NADH reductase","NDUFB6; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6"
"1185","K03963","Energy","Electron transport chain","ETC: NADH reductase","NDUFB7; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7"
"1186","K03964","Energy","Electron transport chain","ETC: NADH reductase","NDUFB8; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8"
"1187","K03965","Energy","Electron transport chain","ETC: NADH reductase","NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9"
"1188","K03966","Energy","Electron transport chain","ETC: NADH reductase","NDUFB10; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10"
"1189","K11351","Energy","Electron transport chain","ETC: NADH reductase","NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11"
"1190","K03967","Energy","Electron transport chain","ETC: NADH reductase","NDUFC1; NADH dehydrogenase (ubiquinone) 1 subunit C1"
"1191","K03968","Energy","Electron transport chain","ETC: NADH reductase","NDUFC2; NADH dehydrogenase (ubiquinone) 1 subunit C2"
"1192","K03885","Energy","Electron transport chain","ETC: NADH reductase","ndh; NADH dehydrogenase [EC:1.6.99.3]"
"1193","K00234","Energy","Electron transport chain",NA,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"1194","K00235","Energy","Electron transport chain",NA,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
"1195","K00236","Energy","Electron transport chain",NA,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
"1196","K00237","Energy","Electron transport chain",NA,"SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit"
"1197","K25801","Energy","Electron transport chain",NA,""
"1198","K00233","Energy","Electron transport chain",NA,""
"1199","K00239","Energy","Electron transport chain",NA,"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"1200","K00240","Energy","Electron transport chain",NA,"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"1201","K00241","Energy","Electron transport chain",NA,"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"1202","K00242","Energy","Electron transport chain",NA,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
"1203","K00244","Energy","Electron transport chain",NA,"frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"1204","K00245","Energy","Electron transport chain",NA,"frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]"
"1205","K00246","Energy","Electron transport chain",NA,"frdC; fumarate reductase subunit C"
"1206","K00247","Energy","Electron transport chain",NA,"frdD; fumarate reductase subunit D"
"1207","K18859","Energy","Electron transport chain",NA,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D"
"1208","K18860","Energy","Electron transport chain",NA,"sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
"1209","K25995","Energy","Electron transport chain",NA,""
"1210","K25996","Energy","Electron transport chain",NA,""
"1211","K00410","Energy","Electron transport chain",NA,"fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit"
"1212","K00411","Energy","Electron transport chain",NA,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"1213","K00412","Energy","Electron transport chain",NA,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
"1214","K00413","Energy","Electron transport chain",NA,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
"1215","K00414","Energy","Electron transport chain",NA,"QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"
"1216","K00415","Energy","Electron transport chain",NA,"QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2"
"1217","K00416","Energy","Electron transport chain",NA,"QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6"
"1218","K00417","Energy","Electron transport chain",NA,"QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7"
"1219","K00418","Energy","Electron transport chain",NA,"QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8"
"1220","K00419","Energy","Electron transport chain",NA,"QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9"
"1221","K00420","Energy","Electron transport chain",NA,"QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10"
"1222","K03886","Energy","Electron transport chain",NA,"MQCRA, qcrA, bfcA, petC; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]"
"1223","K03887","Energy","Electron transport chain",NA,"MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit"
"1224","K03888","Energy","Electron transport chain",NA,"MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit"
"1225","K03889","Energy","Electron transport chain",NA,"qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit"
"1226","K03890","Energy","Electron transport chain",NA,"qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit"
"1227","K03891","Energy","Electron transport chain",NA,"qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit"
"1228","K02257","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
"1229","K02262","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX3; cytochrome c oxidase subunit 3"
"1230","K02256","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9]"
"1231","K02261","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX2; cytochrome c oxidase subunit 2"
"1232","K02263","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX4; cytochrome c oxidase subunit 4"
"1233","K02264","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX5A; cytochrome c oxidase subunit 5a"
"1234","K02265","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX5B; cytochrome c oxidase subunit 5b"
"1235","K02266","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX6A; cytochrome c oxidase subunit 6a"
"1236","K02267","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX6B; cytochrome c oxidase subunit 6b"
"1237","K02268","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX6C; cytochrome c oxidase subunit 6c"
"1238","K02269","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX7; cytochrome c oxidase subunit 7"
"1239","K02270","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX7A; cytochrome c oxidase subunit 7a"
"1240","K02271","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX7B; cytochrome c oxidase subunit 7b"
"1241","K02272","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX7C; cytochrome c oxidase subunit 7c"
"1242","K02273","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX8; cytochrome c oxidase subunit 8"
"1243","K02258","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX11, ctaG; cytochrome c oxidase assembly protein subunit 11"
"1244","K02259","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX15, ctaA; cytochrome c oxidase assembly protein subunit 15"
"1245","K02260","Energy","Electron transport chain","ETC: Cytochrome C oxidase","COX17; cytochrome c oxidase assembly protein subunit 17"
"1246","K02300","Energy","Electron transport chain","ETC: Cytochrome C oxidase","cyoD; cytochrome o ubiquinol oxidase subunit IV"
"1247","K02299","Energy","Electron transport chain","ETC: Cytochrome C oxidase","cyoC; cytochrome o ubiquinol oxidase subunit III"
"1248","K02298","Energy","Electron transport chain","ETC: Cytochrome C oxidase","cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]"
"1249","K02297","Energy","Electron transport chain","ETC: Cytochrome C oxidase","cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]"
"1250","K02277","Energy","Electron transport chain","ETC: Cytochrome C oxidase","coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]"
"1251","K02276","Energy","Electron transport chain","ETC: Cytochrome C oxidase","coxC, ctaE; cytochrome c oxidase subunit III [EC:7.1.1.9]"
"1252","K15408","Energy","Electron transport chain","ETC: Cytochrome C oxidase","coxAC; cytochrome c oxidase subunit I+III [EC:7.1.1.9]"
"1253","K02274","Energy","Electron transport chain","ETC: Cytochrome C oxidase","coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]"
"1254","K02275","Energy","Electron transport chain","ETC: Cytochrome C oxidase","coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
"1255","K02829","Energy","Electron transport chain","ETC: Cytochrome C oxidase","qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]"
"1256","K02828","Energy","Electron transport chain","ETC: Cytochrome C oxidase","qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]"
"1257","K02827","Energy","Electron transport chain","ETC: Cytochrome C oxidase","qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]"
"1258","K02826","Energy","Electron transport chain","ETC: Cytochrome C oxidase","qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]"
"1259","K24007","Energy","Electron transport chain","ETC: Cytochrome C oxidase",""
"1260","K24008","Energy","Electron transport chain","ETC: Cytochrome C oxidase",""
"1261","K24009","Energy","Electron transport chain","ETC: Cytochrome C oxidase",""
"1262","K24010","Energy","Electron transport chain","ETC: Cytochrome C oxidase",""
"1263","K24011","Energy","Electron transport chain","ETC: Cytochrome C oxidase",""
"1264","K00404","Energy","Electron transport chain","ETC: Cytochrome C oxidase","ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]"
"1265","K15862","Energy","Electron transport chain","ETC: Cytochrome C oxidase","ccoNO; cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9]"
"1266","K00405","Energy","Electron transport chain","ETC: Cytochrome C oxidase","ccoO; cytochrome c oxidase cbb3-type subunit II"
"1267","K00406","Energy","Electron transport chain","ETC: Cytochrome C oxidase","ccoP; cytochrome c oxidase cbb3-type subunit III"
"1268","K00407","Energy","Electron transport chain","ETC: Cytochrome C oxidase","ccoQ; cytochrome c oxidase cbb3-type subunit IV"
"1269","K00424","Energy","Electron transport chain",NA,""
"1270","K00425","Energy","Electron transport chain",NA,"cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"
"1271","K00426","Energy","Electron transport chain",NA,"cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"
"1272","K22501","Energy","Electron transport chain",NA,"appX; cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]"
"1273","K08738","Energy","Electron transport chain",NA,"CYC; cytochrome c"
"1274","K00001","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"1275","K00055","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]"
"1276","K00121","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"1277","K00141","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"
"1278","K00217","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]"
"1279","K00446","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]"
"1280","K00448","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"
"1281","K00449","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
"1282","K00462","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]"
"1283","K00480","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]"
"1284","K00632","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
"1285","K01061","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]"
"1286","K01426","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
"1287","K01501","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E3.5.5.1; nitrilase [EC:3.5.5.1]"
"1288","K01560","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]"
"1289","K01561","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","dehH; haloacetate dehalogenase [EC:3.8.1.3]"
"1290","K01563","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","dhaA; haloalkane dehalogenase [EC:3.8.1.5]"
"1291","K01617","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77]"
"1292","K01666","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]"
"1293","K01692","Degradation","Xenobiotics degradation","Xenobiotics degradation: Shared","paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
